ID,Title,Authors,Venue,Venue Type,Year,Source (query/snowballing),Read Title?,Read Abstract?,Read Whole?,Inclusion Criterion 1,Inclusion Criterion 2,Exclusion Criterion 1,Exclusion Criterion 2,Exclusion Criterion 3,Exclusion Criterion 4,Exclusion Criterion 5,Exclusion Criterion 6,Exclusion Criterion 7,Snowballing applied?,Notes
29,Integrating a service architecture based on OSGI within Android platforms,"Paradinas, Pierre; Bouzefrane, Samia; Huang, Dijiang",,conferencePaper,2011,Q,o,,,x,x,,,,,,x,,,Not available
30,Functional security in an ANDROID mobile architecture,"Карпачев, ІІ; Казимир, ВВ",,journalArticle,2015,Q,o,,,,,,,,,,,,,Not about software architecture; Duplication of ID:14
31,UHI boot protocol implementation in Android emulator for MIPS architecture,"Ferenc, Goran Z; Dinic, Miodrag D; Markovic, Aleksandar I; Jovanovic, Petar D",IEEE,conferencePaper,2017,Q,o,o,,,x,,,,,,,,,Not about software architecture
32,Instruction-level Acceleration for Drawing Operations of Android System Based on Domestic Unicore Architecture,"LING, Ming; WU, Jian-ping; WANG, Meng-meng",,journalArticle,2013,Q,o,,,,,,,,,,x,,,Not available
33,Implementation of an IP Mobility Support Function Considering Portability to Android Terminals (Internet Architecture),"Ukida, Yuta; Ohishi, Yasuhiro; Maeda, Kaori",,journalArticle,2015,Q,o,,,,,,,x,,,,,,Not in English
34,Android vs. IOS: An Architectural Perspective,"Singh, AJ; Bhardwaj, Akshay",,journalArticle,2014,Q,o,,,,,,,,,,,,,Not focused on Android or software architecture
35,Algorithm and Implementation of Education Platform Client/Server Architecture Based on Android System,"Liang, Yan",IEEE,conferencePaper,2018,Q,o,,,,,,,,,,,,,Not focused on Android or software architecture; Focus was on something based on Android architecture
36,Functional security in an ANDROID mobile architecture,"Казимир, ВВ; Карпачев, ІІ",,journalArticle,2015,Q,o,,,,,,,,,,,,,Not about software architecture; Duplication of ID:14
37,Integration and optimization of Android applications based on service-oriented architecture,"Hu, Hao; Song, Jinran",IEEE,conferencePaper,2016,Q,o,o,,x,x,,,,,,,x,,Presents own architecture
38,Android: Designing issues of Advanced RISC Machine Architecture,"Ranjan, Nikhil",,journalArticle,,Q,o,,,,,,,,,,x,,,Not available
39,"Cloud-Based Mobile App Testing Framework: Architecture, Implementation and Execution","Villanes, Isabel Karina; Meireles, Silvia; Dias-Neto, Arilo Claudio",,journalArticle,,Q,o,o,,,,,,,,,,,,Not focused on Android or software architecture
40,Next generation media: A user friendly Android tablet application for business architecture modeling,"Dumeez, Joost",GHENT UNIVERSITY,thesis,2013,Q,o,,,,,,,,x,,,,,Not peer-reviewed
41,Android Security Architecture,"Gunasekera, Sheran",Springer,bookSection,2012,Q,o,,,,,,x,,,,,,,It's a book
42,Android/Matlab Data Exchange Middleware Architecture,"CHEN, Guo-liang; WU, Yun-ping",,journalArticle,2014,Q,o,,,,,,,,,,x,,,Not available
43,"CAMPUS PUSH-AN ANDROID IMPLEMENTATION OF LOCATION AWARE, POLICY DRIVEN AND CONTEXT AWARE ARCHITECTURE","Ravindran, Roopkala; Qazi, Nitika; Atre, Vinita; Narkar, Sagar; Rohira, Jayesh",,journalArticle,,Q,o,o,,,x,,,,,,,,,Not focused on software architecture
44,Implementation of MVC Architecture to an Android Application,"Gautam, Jaya; Bhatia, Paritosh; Kaur, Navdeep",,journalArticle,,Q,o,,,,,,,,,,x,,,Not available
45,Android Architecture,"Michael, Y Morckos",,journalArticle,2009,Q,o,,,,,,,,,,x,,,Not available
46,Scalable Software Architecture for the Android Beyond the Stratosphere Satellite Network,"Prat i Sala, Arnau",Universitat Politècnica de Catalunya,thesis,2015,Q,o,,,,,,,,x,,,,,Not peer-reviewed
47,A client-server architecture for distributed and scalable multimedia content analysis: an Android app for assisting phone users in shooting aesthetically valuable pictures,"García Ardiles, Gabriel",,thesis,2016,Q,o,,,,,,,,x,,,,,Not peer-reviewed
48,Android 4.0. 3 System Architecture of the ADC Based on Cortex-A8,"Wu, ZHANG",,journalArticle,2013,Q,o,,,,,,,,,,x,,,Not available
49,OPTIMIZING BATTERY USAGE OF SMARTPHONES BY EFFICIENT DESIGN OF NEXT GENERATION ANDROID APPLICATION ON CLOUD ARCHITECTURE,"SINGLA, VANDNA",,journalArticle,,Q,o,o,o,x,,,,,,,,,,Not focusing on Android Architecture
